user_id,image_paths,user_claim,claim_object,evidence_standard_met,evidence_standard_met_reason,risk_flags,issue_type,object_part,claim_status,claim_status_justification,supporting_image_ids,valid_image,severity
user_011,images/sample/case_011/img_1.jpg,"Customer: I spilled water near my laptop while working. | Support: What part was affected? | Customer: It went over the keys and left a stain. Some keys feel sticky now. | Support: Is the display damaged too? | Customer: No, this is about the keyboard area only.",laptop,true,The image clearly shows the laptop keyboard with water present on and around the keys.,none,stain,keyboard,supported,"The image shows water on the keyboard, supporting the claim of a stain due to water exposure.",img_1,true,medium
user_012,images/sample/case_012/img_1.jpg;images/sample/case_012/img_2.jpg,"Customer: My laptop bag fell from a chair and hit the floor. | Support: What damage did you notice? | Customer: One corner of the laptop has a dent now. | Support: Does the laptop still work? | Customer: It works, but the outer corner is damaged. I added two photos.",laptop,true,The claimed object and relevant part are visible clearly enough to inspect the claimed condition.,user_history_risk;manual_review_required,dent,corner,supported,The image shows a visible dent on the corner of the laptop.,img_2,true,low
user_018,images/sample/case_013/img_1.jpg,"Customer: I am not sure if this should be a repair claim or a replacement claim, so I wanted to ask first. | Support: We can help. What device is this about? | Customer: It is my laptop. I carry it every day, and yesterday my bag got pressed between two seats during travel. At first I thought the laptop was okay because it still opened. | Support: What changed after that? | Customer: Later, while using it, I noticed marks on the display area. I restarted it twice because I thought it might just be something on the screen, but it still bothered me. | Support: Are you reporting keyboard, hinge, body, or screen damage? | Customer: Not the keyboard or hinge. The issue I want checked is the screen. It looks shattered to me, so I am submitting this as screen damage.",laptop,true,The image clearly shows a cracked laptop screen.,none,glass_shatter,screen,supported,"The image shows a severely cracked screen, supporting the claim of screen damage.",img_1,true,high
user_020,images/sample/case_014/img_1.jpg,Customer: The laptop trackpad has stopped working properly. | Support: Did anything happen before it stopped working? | Customer: The front area hit the desk edge when I moved it. | Support: Are you reporting internal function or physical damage? | Customer: Physical damage around the trackpad area. I attached the photo for review.,laptop,true,The image clearly shows the laptop's trackpad area and a visible scratch.,none,scratch,trackpad,supported,"The image shows a scratch on the trackpad area, supporting the claim of physical damage.",img_1,true,low
user_015,images/sample/case_015/img_1.jpg,Customer: My delivery box arrived damaged. | Support: What part of the package was affected? | Customer: One corner was crushed in when I received it. | Support: Is the item inside part of this claim? | Customer: Not right now. I am reporting the package corner damage.,package,true,The image clearly shows the corner of the package with visible damage.,none,crushed_packaging,package_corner,supported,"The image shows a crushed corner of the package, supporting the claim of package corner damage.",img_1,true,medium
user_030,images/sample/case_016/img_1.jpg;images/sample/case_016/img_2.jpg,"Customer: Package receive hua toh opened jaisa lag raha tha. | Support: Tape broken tha ya box crush hua tha? | Customer: Seal wali side phati hui thi, jaise parcel khola gaya ho. | Support: Kya andar ka item missing hai? | Customer: Abhi item missing claim nahi kar raha, sirf torn packaging review karwana hai.",package,true,The image shows a damaged package with torn packaging.,none,torn_packaging,package_side,supported,"The image shows a package with torn and damaged sides, matching the claim of torn packaging.",img_1,true,medium
user_031,images/sample/case_017/img_1.jpg,"Customer: I received a package that looks water damaged. | Support: Was the item inside wet too? | Customer: I have not opened everything yet, but the outside has a wet-looking stain. | Support: So the claim is about the package condition? | Customer: Yes, the package surface looked damaged when it arrived.",package,true,The image shows a visible stain on the package surface.,none,stain,package,supported,"The image shows a stain on the package surface, supporting the claim of water damage.",img_1,true,medium
user_032,images/sample/case_018/img_1.jpg;images/sample/case_018/img_2.jpg,Customer: The item I ordered was not inside the box. | Support: Did the package look opened when you received it? | Customer: I checked it after delivery and could not find the product inside. | Support: What are you asking us to verify? | Customer: Please verify that the contents are missing from the package.,package,false,The image does not provide clear evidence of the package contents or any visible damage to the contents.,cropped_or_obstructed;damage_not_visible;manual_review_required;user_history_risk,unknown,contents,not_enough_information,The image shows an open box filled with packaging material but does not provide clear evidence of missing contents or damage.,none,false,unknown
user_033,images/sample/case_019/img_1.jpg,Customer: The shipping box arrived in bad condition. | Support: What kind of condition issue are you reporting? | Customer: It looked badly crushed when it was delivered. | Support: Is the claim about the outside box or the product inside? | Customer: The outside box. I want the crushed box reviewed.,package,false,"The image does not show the package box or its condition, only the contents (canned goods) inside.",cropped_or_obstructed;damage_not_visible;manual_review_required,unknown,contents,not_enough_information,"The image provided does not show the condition of the package box, only the contents.",none,false,unknown
user_034,images/sample/case_020/img_1.jpg;images/sample/case_020/img_2.jpg,Customer: My delivery box arrived opened. | Support: Was the package crushed or was the seal affected? | Customer: The seal area looked torn when I received it. | Support: Are you asking us to review the package condition or the item inside? | Customer: The package condition. I want the torn-open package reviewed.,package,true,The package exterior and claimed seal area are visible clearly enough to inspect packaging damage.,user_history_risk;manual_review_required,torn_packaging,seal,supported,"The image shows a torn seal area on the package, supporting the claim of a torn-open package.",img_1,true,medium
